#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,1.00,2.01
4,1000,0.99,4.02
8,1000,0.99,8.09
16,1000,0.99,16.17
32,1000,1.01,31.68
64,1000,1.17,54.90
128,1000,1.22,105.29
256,1000,1.42,180.00
512,1000,1.50,340.72
1024,1000,1.66,616.42
2048,1000,2.32,882.53
4096,1000,3.21,1275.14
8192,1000,4.49,1826.04
16384,1000,6.29,2603.73
32768,1000,8.49,3860.74
65536,640,12.39,5291.48
131072,320,18.65,7029.32
262144,160,32.56,8050.03
524288,80,54.17,9678.15
1048576,40,96.96,10814.39
2097152,20,182.04,11519.99
4194304,10,352.51,11898.55
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.02
4,1000,0.99,4.03
8,1000,0.99,8.11
16,1000,0.99,16.16
32,1000,1.01,31.77
64,1000,1.16,54.96
128,1000,1.20,106.26
256,1000,1.42,179.99
512,1000,1.50,341.43
1024,1000,1.66,617.38
2048,1000,2.33,879.70
4096,1000,3.20,1278.84
8192,1000,4.50,1819.97
16384,1000,6.29,2606.43
32768,1000,8.48,3862.71
65536,640,12.39,5290.05
131072,320,18.66,7023.25
262144,160,32.58,8046.75
524288,80,54.27,9661.50
1048576,40,97.80,10721.78
2097152,20,182.00,11522.60
4194304,10,352.72,11891.42
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.99,1.01
2,1000,0.99,2.02
4,1000,0.99,4.04
8,1000,0.99,8.12
16,1000,0.99,16.21
32,1000,1.01,31.81
64,1000,1.16,55.41
128,1000,1.22,105.35
256,1000,1.44,177.75
512,1000,1.50,342.42
1024,1000,1.65,618.93
2048,1000,2.33,877.50
4096,1000,3.20,1278.77
8192,1000,4.48,1828.77
16384,1000,6.27,2614.02
32768,1000,8.49,3861.18
65536,640,12.39,5290.77
131072,320,18.61,7042.36
262144,160,32.56,8051.01
524288,80,54.36,9645.48
1048576,40,98.22,10675.95
2097152,20,181.99,11523.20
4194304,10,353.09,11878.70
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.99,1.01
2,1000,0.99,2.02
4,1000,1.00,3.99
8,1000,0.99,8.10
16,1000,0.99,16.17
32,1000,1.01,31.80
64,1000,1.16,54.94
128,1000,1.21,106.05
256,1000,1.42,179.99
512,1000,1.50,342.38
1024,1000,1.66,617.32
2048,1000,2.33,879.74
4096,1000,3.20,1279.76
8192,1000,4.50,1822.39
16384,1000,6.30,2600.51
32768,1000,8.47,3867.09
65536,640,12.39,5288.55
131072,320,18.64,7032.82
262144,160,32.58,8046.14
524288,80,54.93,9544.88
1048576,40,98.53,10642.30
2097152,20,182.28,11505.09
4194304,10,353.39,11868.86
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,1.00,2.01
4,1000,1.00,4.02
8,1000,0.99,8.09
16,1000,1.00,16.06
32,1000,1.01,31.72
64,1000,1.16,55.03
128,1000,1.21,105.60
256,1000,1.42,179.65
512,1000,1.50,342.28
1024,1000,1.66,616.59
2048,1000,2.33,879.51
4096,1000,3.20,1280.28
8192,1000,4.48,1826.68
16384,1000,6.28,2608.75
32768,1000,8.48,3863.12
65536,640,12.38,5292.45
131072,320,18.65,7026.28
262144,160,32.64,8031.27
524288,80,56.79,9232.39
1048576,40,97.87,10714.01
2097152,20,182.13,11514.78
4194304,10,352.55,11897.18
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.01
4,1000,1.00,4.02
8,1000,0.99,8.10
16,1000,0.99,16.09
32,1000,1.01,31.70
64,1000,1.16,54.98
128,1000,1.21,105.51
256,1000,1.44,178.02
512,1000,1.50,341.24
1024,1000,1.65,619.44
2048,1000,2.33,879.65
4096,1000,3.21,1277.85
8192,1000,4.49,1824.24
16384,1000,6.29,2603.72
32768,1000,8.49,3857.91
65536,640,12.40,5283.08
131072,320,18.62,7037.80
262144,160,32.58,8045.22
524288,80,57.37,9139.46
1048576,40,96.95,10815.69
2097152,20,182.53,11489.44
4194304,10,352.65,11893.58
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.01
4,1000,0.99,4.03
8,1000,0.99,8.11
16,1000,0.99,16.19
32,1000,1.01,31.76
64,1000,1.17,54.85
128,1000,1.21,105.62
256,1000,2.79,91.72
512,1000,1.50,342.23
1024,1000,1.65,618.79
2048,1000,2.34,876.75
4096,1000,3.20,1279.47
8192,1000,4.49,1825.63
16384,1000,6.27,2613.96
32768,1000,8.47,3869.30
65536,640,12.36,5300.39
131072,320,18.62,7040.29
